text,name_intent,label
"On a card payment, why is there a fee?",card_payment_fee_charged,16
Tell me why I need top-up to be verified?,verify_top_up,71
i used a check check yesterday to balance my account and it isn't showing up?,balance_not_updated_after_cheque_or_cash_deposit,7
I believe my top up has failed,top_up_failed,59
How to cancel a transaction,cancel_transfer,9
Is there a way I can get my card expedited?,card_arrival,12
Am I able to top up with this cheque I received?,top_up_by_cash_or_cheque,58
What can I use to verify my identity?,verify_my_identity,69
Please tell me how I can get a virtual card.,getting_virtual_card,41
I paid with my card so so why was I charged a transaction fee?,card_payment_fee_charged,16
What is the time period for money to be transferred?,transfer_timing,67
I was spending cash with my card and got a fee.,card_payment_fee_charged,16
Why won't my card work.,card_not_working,15
What do you charge for an exchange fee?,exchange_charge,32
help me link my card,card_linking,14
Do top-ups have a limit?,top_up_limits,60
Does it matter which card I use,visa_or_mastercard,73
My payment didn't work and the money is in back in my account.,reverted_card_payment?,53
The card payment I made didn't work.,declined_card_payment,26
I am seeing inside the App a some cash withdrawal that is not mine,cash_withdrawal_not_recognised,21
What if I don't want to disclose all of my identity details?,why_verify_identity,74
"I went to the store and tried to make a purchase. The first time, it was declined, but the second one went through. But my App shows me that I've already been charged once and the second charge is still pending. Can you make sure that I'm not charged twice?",transaction_charged_twice,63
I can't log in,passcode_forgotten,45
I keep trying to use my card to buy some things and you keep declining it. Why? I've tried multiple times to make it go through but it won't.,declined_card_payment,26
"I think I was charged twice, please help!",transaction_charged_twice,63
Visa and Mastercard can both be received from you?,visa_or_mastercard,73
Is there an additional charge to exchange currencies?,exchange_charge,32
For what reason did my top-up get cancelled?,top_up_reverted,61
Where's my virtual card,getting_virtual_card,41
How can I change currency type?,exchange_via_app,34
My card has been found. Is there any way for me to put it back into the app?,card_linking,14
"My card has been declined by two separate ATM, and I'm worried something is wrong with my account. Would you please see if my account is okay?",declined_cash_withdrawal,27
2 weeks ago I ordered my new card. It isn't here. What should I do?,card_arrival,12
Why do I have a transaction showing up more than once?,transaction_charged_twice,63
"i need help, i lost my card",lost_or_stolen_card,42
Help me cancel a transfer.,cancel_transfer,9
Can someone assist me with activating my card?,activate_my_card,1
I just had my card get declined at the ATM! I need to get money out but I am unable to. Why has this happened?,declined_cash_withdrawal,27
Can I use my card at an ATM?,atm_support,4
Can I use my card for online payments?,card_acceptance,11
This card is accepted by what businesses?,card_acceptance,11
I tried to used my card in a shop and the transaction was declined.,declined_card_payment,26
I bought something in another country but the exchange rate is wrong,card_payment_wrong_exchange_rate,18
Do you have to be in the UK to get a card?,country_support,25
"I used my card to top up, but now I don't see the money in my account.",topping_up_by_card,62
Where is the money I put in the bank?,balance_not_updated_after_cheque_or_cash_deposit,7
How can I tell where the money came from?,verify_source_of_funds,70
There's a direct debit payment that I don't recognize.,direct_debit_payment_not_recognised,29
A duplicated payment was made for something.,transaction_charged_twice,63
Show me where I can see the PIN?,get_physical_card,39
I put money in my account a week ago but its still not there?? What happened to my money?,balance_not_updated_after_cheque_or_cash_deposit,7
Is there a fee for a SEPA transfer,top_up_by_bank_transfer_charge,56
Someone might be using my card. What should I do?,compromised_card,23
"Why are all my transfers failing? I have the details right and they won't complete. I've been trying all day and they still won't go through, this is URGENT, please help.",declined_transfer,28
The payment I made with my card is not showing up.,reverted_card_payment?,53
Someone else used my card to withdraw cash from an ATM,cash_withdrawal_not_recognised,21
What was the extra charge for withdrawing money?,cash_withdrawal_charge,20
